Atom Nr.1

Distance label: 1 		 Original label: 2
Distance label: 2 		 Original label: 3
Distance label: 3 		 Original label: 4
Distance label: 4 		 Original label: 5
Distance label: 5 		 Original label: 6
Distance label: 6 		 Original label: 7
Distance label: 7 		 Original label: 8
Distance label: 8 		 Original label: 9
Distance label: 9 		 Original label: 10
Distance label: 10 		 Original label: 11
Distance label: 11 		 Original label: 12
Distance label: 12 		 Original label: 13
Distance label: 13 		 Original label: 14
Distance label: 14 		 Original label: 15
Distance label: 15 		 Original label: 16
Distance label: 16 		 Original label: 17
Distance label: 17 		 Original label: 18
Distance label: 18 		 Original label: 19
Distance label: 19 		 Original label: 20
Distance label: 20 		 Original label: 21
Distance label: 21 		 Original label: 22
Distance label: 22 		 Original label: 23
Distance label: 23 		 Original label: 24
Distance label: 24 		 Original label: 25
Distance label: 25 		 Original label: 26
Distance label: 26 		 Original label: 27
Distance label: 27 		 Original label: 28
Distance label: 28 		 Original label: 29
Distance label: 29 		 Original label: 31
Distance label: 30 		 Original label: 32
Distance label: 31 		 Original label: 33
Distance label: 32 		 Original label: 34
Distance label: 33 		 Original label: 37
Distance label: 34 		 Original label: 38
Distance label: 35 		 Original label: 39
Distance label: 36 		 Original label: 40
Distance label: 37 		 Original label: 41
Distance label: 38 		 Original label: 42
Distance label: 39 		 Original label: 43
Distance label: 40 		 Original label: 44
Distance label: 41 		 Original label: 45
Distance label: 42 		 Original label: 46
Distance label: 43 		 Original label: 47
Distance label: 44 		 Original label: 48
Distance label: 45 		 Original label: 49
Distance label: 46 		 Original label: 50
Distance label: 47 		 Original label: 51
Distance label: 48 		 Original label: 52
Distance label: 49 		 Original label: 53
Distance label: 50 		 Original label: 54
Distance label: 51 		 Original label: 55
Distance label: 52 		 Original label: 56
Distance label: 53 		 Original label: 57
Distance label: 54 		 Original label: 58
Distance label: 55 		 Original label: 59
Distance label: 56 		 Original label: 61
Distance label: 57 		 Original label: 62
Distance label: 58 		 Original label: 63
Distance label: 59 		 Original label: 64
Distance label: 60 		 Original label: 65
Distance label: 61 		 Original label: 67
Distance label: 62 		 Original label: 68
Distance label: 63 		 Original label: 69
Distance label: 64 		 Original label: 70
